#start of day, 12-02-2012, 15:38:03
comment, date, time, color, opacity, width, lat, long, alt, speed, x, y
#faff duration="00:16:07"
1, 12-02-2012, 15:38:03, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
2, 12-02-2012, 15:38:04, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
3, 12-02-2012, 15:38:05, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
4, 12-02-2012, 15:38:06, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
5, 12-02-2012, 15:38:07, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
6, 12-02-2012, 15:38:08, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
7, 12-02-2012, 15:38:09, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
8, 12-02-2012, 15:38:10, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
9, 12-02-2012, 15:38:11, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
10, 12-02-2012, 15:38:12, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
11, 12-02-2012, 15:38:13, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
12, 12-02-2012, 15:38:14, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
13, 12-02-2012, 15:38:15, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
14, 12-02-2012, 15:38:16, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
15, 12-02-2012, 15:38:17, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
16, 12-02-2012, 15:38:18, green, 80, 3, 39.885355, -105.763408, 2780, 1, 6839971, 2890947
17, 12-02-2012, 15:38:19, green, 80, 3, 39.885413, -105.763413, 2787, 1, 6839960, 2890950
18, 12-02-2012, 15:38:20, green, 80, 3, 39.885413, -105.763413, 2787, 1, 6839960, 2890950
19, 12-02-2012, 15:38:21, green, 80, 3, 39.885413, -105.763413, 2787, 1, 6839960, 2890950
20, 12-02-2012, 15:38:22, green, 80, 3, 39.885413, -105.763413, 2787, 1, 6839960, 2890950
21, 12-02-2012, 15:38:23, green, 80, 3, 39.885378, -105.763348, 2787, 1, 6839971, 2890957
22, 12-02-2012, 15:38:24, green, 80, 3, 39.885378, -105.763348, 2787, 1, 6839971, 2890957
23, 12-02-2012, 15:38:25, green, 80, 3, 39.885367, -105.763293, 2786, 1, 6839977, 2890964
24, 12-02-2012, 15:38:26, green, 80, 3, 39.885367, -105.763293, 2786, 1, 6839977, 2890964
25, 12-02-2012, 15:38:27, green, 80, 3, 39.885357, -105.763248, 2785, 2, 6839982, 2890970
26, 12-02-2012, 15:38:28, green, 80, 3, 39.885357, -105.763248, 2785, 2, 6839982, 2890970
27, 12-02-2012, 15:38:29, green, 80, 3, 39.885357, -105.763248, 2785, 2, 6839982, 2890970
28, 12-02-2012, 15:38:30, green, 80, 3, 39.885357, -105.763248, 2785, 2, 6839982, 2890970
29, 12-02-2012, 15:38:31, green, 80, 3, 39.885357, -105.763248, 2785, 2, 6839982, 2890970
30, 12-02-2012, 15:38:32, green, 80, 3, 39.885357, -105.763248, 2785, 2, 6839982, 2890970
31, 12-02-2012, 15:38:33, green, 80, 3, 39.885392, -105.763165, 2789, 5, 6839982, 2890984
32, 12-02-2012, 15:38:34, green, 80, 3, 39.885392, -105.763165, 2789, 5, 6839982, 2890984
33, 12-02-2012, 15:38:35, green, 80, 3, 39.885392, -105.763165, 2789, 5, 6839982, 2890984
34, 12-02-2012, 15:38:36, green, 80, 3, 39.885392, -105.763165, 2789, 5, 6839982, 2890984
35, 12-02-2012, 15:38:37, green, 80, 3, 39.885392, -105.763165, 2789, 5, 6839982, 2890984
36, 12-02-2012, 15:38:38, green, 80, 3, 39.885427, -105.763165, 2797, 1, 6839976, 2890986
37, 12-02-2012, 15:38:39, green, 80, 3, 39.885427, -105.763165, 2797, 1, 6839976, 2890986
38, 12-02-2012, 15:38:40, green, 80, 3, 39.885427, -105.763165, 2797, 1, 6839976, 2890986
39, 12-02-2012, 15:38:41, green, 80, 3, 39.885427, -105.763165, 2797, 1, 6839976, 2890986
40, 12-02-2012, 15:38:42, green, 80, 3, 39.885427, -105.763165, 2797, 1, 6839976, 2890986
41, 12-02-2012, 15:38:43, green, 80, 3, 39.885427, -105.763165, 2797, 1, 6839976, 2890986
